,mean,cov
2018-01-04,[97.54433143938279],[14.484830764580538]
2018-01-05,[-12.253852338795163],[3.5858217901642733]
2018-01-06,[80.16414286425518],[7.637771936325374]
2018-01-07,[42.51436861557775],[4.770875200474479]
2018-01-08,[111.94962053139476],[11.259442662589175]
2018-01-09,[124.54538814789034],[11.422790748073181]
2018-01-10,[78.81546517809494],[10.478997447005039]
2018-01-11,[-15.41748437083441],[2.5428547069569323]
2018-01-12,[-19.858551189198185],[2.623640854817631]
2018-01-13,[-43.09332867543932],[2.366857336667841]
2018-01-14,"[-35.991821572847904, -42.07256509062217]","[1.080775792004798, 1e-06]"
2018-01-15,[33.91486201227786],[4.571091587776205]
2018-01-16,[-20.16283917294399],[2.622733251776423]
2018-01-17,[83.04412806338394],[5.403785619003125]
2018-01-18,"[-26.905807100675766, -31.554382189772856]","[0.6101435015366965, 1e-06]"
2018-01-19,"[-58.78064327435586, -64.64521972717947]","[0.8234665267324793, 1e-06]"
2018-01-20,[-6.967152739682758],[2.212968791304703]
2018-01-21,"[-56.495266231184054, -62.18245306184319]","[0.9160064960664265, 1e-06]"
2018-01-22,"[-28.651119178126198, -33.96990092714141]","[1.1950995701876446, 1e-06]"
2018-01-23,[97.74225724509304],[10.254335757366915]
2018-01-24,[130.5398322019231],[11.132603476509871]
2018-01-25,[143.34693987870438],[13.336580879147954]
2018-01-26,[114.32657143429417],[11.753136759295046]
2018-01-27,[54.319374470928864],[6.542086830034189]
2018-01-28,[33.992276125331585],[4.174355336880552]
2018-01-29,[81.36692117381698],[7.851337340863971]
2018-01-30,[113.19645629686441],[9.188592991109854]
2018-01-31,[107.86601414012515],[10.004410065108639]
2018-02-01,"[-8.73129069429637, -14.230012096670297]","[1.7946510168279468, 1e-06]"
2018-02-02,[84.48621435486442],[5.501661880907879]
2018-02-03,[-30.57041375098333],[2.185105555634076]
2018-02-04,[-1.7640963249513633],[3.1733554321732482]
2018-02-05,[68.0342127524536],[5.119140360399011]
