Time,CPI,ICBC,CCB
2014/8/26,0.01174497,-0.00380228,0
2014/8/27,-0.02614379,-0.01140684,-0.01016949
2014/8/28,-0.02181208,-0.01908397,-0.01703578
2014/8/29,0.00172117,-0.00194175,-0.0017331
2014/9/1,-0.00344234,-0.00391389,-0.00522648
2014/9/2,0.0052356,-0.00197629,-0.00350877
2014/9/3,0.02739726,0.03937008,0.03141361
2014/9/4,0.00331675,0.00378788,0.00851789
2014/9/5,-0.01317957,-0.00187266,-0.00501672
2014/9/8,0.00666667,-0.00187617,-0.0066778
2014/9/10,-0.02796053,-0.01518027,-0.01190476
2014/9/11,0.00170068,-0.00767754,-0.00686106
2014/9/12,0.0102916,-0.00193424,-0.00172712
2014/9/15,-0.0119863,0.00391389,0.00350877
2014/9/16,-0.01398601,0.018,0
2014/9/17,-0.0034904,0.00386847,0.00693241
2014/9/18,-0.00177305,-0.00772201,-0.00865052
2014/9/19,-0.00529101,-0.00582524,-0.00695652
2014/9/22,-0.01247772,-0.00197629,-0.00705467
2014/9/23,-0.01610018,0.00399202,0
2014/9/24,0.01092896,0.01596806,0.019678
2014/9/25,0.00180505,-0.01181102,-0.01570681
2014/9/26,-0.01444043,0.00809717,0.01258993
2014/9/29,0.02033272,-0.0040568,-0.00897666
2014/9/30,-0.01086957,-0.00819672,-0.01449275
2014/10/3,0.01851852,0.01882845,0.02056075
2014/10/6,0.01841621,0.00821355,0.00915751
2014/10/7,0,0.01848049,0.01279708
2014/10/8,0.02022059,0.00407332,-0.00181818
2014/10/9,-0.01587302,0.00607287,0.01454546
2014/10/10,0.00549451,-0.00407332,-0.00543478
2014/10/13,0.01848429,0.00618557,0.00917431
2014/10/14,-0.00546448,0.00617284,-0.00362976
2014/10/15,-0.00724638,0.00817996,0.00361011
2014/10/16,0,-0.00204499,0.00547445
2014/10/17,-0.00550459,0.00819672,0.00547445
2014/10/20,-0.00543478,-0.00603622,-0.0036036
2014/10/21,0.00183824,-0.00202429,0.00545455
2014/10/22,-0.00544465,0.01012146,0.01263538
2014/10/23,0.01104972,0.01209677,0.00535714
2014/10/24,0.00362976,0,0.00902527
2014/10/27,-0.00897666,-0.00201613,-0.01069519
2014/10/28,0.02683363,0.01814516,0.02154399
2014/10/29,0.00515464,0.00196078,0.00174216
2014/10/30,-0.0221843,-0.00976563,-0.01038062
2014/10/31,-0.00172117,0.00588235,0
