Time,ZGTB,GSYH,JSYH
2014-08-26,0.00500000 ,-0.00380200 ,-0.00168900 
2014-08-27,-0.01160900 ,-0.00763400 ,-0.01184400 
2014-08-28,-0.02181200 ,-0.01153800 ,-0.01198600 
2014-08-29,-0.00171500 ,0.00000000 ,-0.00173300 
2014-09-01,-0.00515500 ,-0.00972800 ,-0.00868100 
2014-09-02,-0.00518100 ,-0.00785900 ,-0.00525400 
2014-09-03,0.04166700 ,0.04554500 ,0.04049300 
2014-09-04,0.00833300 ,0.00378800 ,0.00169200 
2014-09-05,-0.00991700 ,0.00566000 ,0.00506800 
2014-09-08,0.00834700 ,-0.00187600 ,0.00000000 
2014-09-10,-0.02152300 ,-0.02443600 ,-0.02352900 
2014-09-11,-0.00338400 ,-0.00385400 ,-0.00344200 
2014-09-12,0.00000000 ,-0.00193400 ,-0.00172700 
2014-09-15,-0.02037400 ,-0.00581400 ,-0.01038100 
2014-09-16,-0.02253000 ,-0.00779700 ,-0.00349700 
2014-09-17,0.01241100 ,0.01964600 ,0.01929800 
2014-09-18,-0.01401100 ,-0.00963400 ,-0.01376900 
2014-09-19,0.00177600 ,-0.00389100 ,-0.00349000 
2014-09-22,-0.01773000 ,-0.01367200 ,-0.01401100 
2014-09-23,-0.00722000 ,-0.00396000 ,-0.00177600 
2014-09-24,0.00909100 ,0.01192800 ,0.01423500 
2014-09-25,0.00000000 ,-0.01375200 ,-0.01052600 
2014-09-26,-0.01621600 ,-0.00796800 ,-0.00177300 
2014-09-29,0.01098900 ,-0.01405600 ,-0.01953800 
2014-09-30,-0.01087000 ,-0.01425700 ,-0.01449300 
2014-10-03,0.00732600 ,0.00619800 ,0.00367600 
2014-10-06,0.00545500 ,0.00821400 ,0.00915800 
2014-10-07,-0.00180800 ,0.01018300 ,0.00544500 
2014-10-08,0.00543500 ,-0.00604800 ,-0.00902500 
2014-10-09,0.00540500 ,0.00811400 ,0.01639300 
2014-10-10,-0.01612900 ,-0.01609700 ,-0.01612900 
2014-10-13,0.00364300 ,-0.00204500 ,0.00182100 
2014-10-14,-0.00907400 ,0.00204900 ,-0.00181800 
2014-10-15,0.00366300 ,0.00818000 ,0.01275000 
2014-10-16,-0.01459900 ,-0.01014200 ,-0.00899300 
2014-10-17,0.00370400 ,0.00819700 ,0.00000000 
2014-10-20,0.01291500 ,0.00406500 ,0.00363000 
2014-10-21,-0.00728600 ,-0.00202400 ,0.00000000 
2014-10-22,0.00550500 ,0.01217000 ,0.01446700 
2014-10-23,0.00182500 ,0.00601200 ,0.00356500 
2014-10-24,0.00728600 ,-0.00597600 ,-0.00710500 
2014-10-27,-0.00180800 ,-0.00801600 ,-0.00715600 
2014-10-28,0.03985500 ,0.02020200 ,0.02522500 
2014-10-29,0.01916400 ,0.01188100 ,0.01054500 
2014-10-30,-0.02051300 ,-0.00782800 ,-0.00521700 
2014-10-31,0.01221600 ,0.01183400 ,0.01049000 
2014-11-03,-0.00862100 ,-0.00779700 ,-0.00692000 
2014-11-04,0.00347800 ,0.00000000 ,0.00348400 
2014-11-05,-0.00519900 ,-0.01178800 ,-0.00694400 
2014-11-06,-0.00174200 ,-0.00795200 ,-0.00349700 
2014-11-07,-0.00698100 ,0.00200400 ,-0.00877200 
2014-11-10,-0.01230200 ,0.01000000 ,0.00708000 
2014-11-11,0.01245600 ,0.00000000 ,0.00527200 
2014-11-12,0.01406000 ,0.00000000 ,0.00000000 
2014-11-13,0.03119600 ,0.01188100 ,0.00874100 
2014-11-14,-0.01008400 ,0.00000000 ,0.00173300 
2014-11-17,-0.02376900 ,-0.01174200 ,-0.01730100 
2014-11-18,-0.02087000 ,-0.01386100 ,-0.00880300 
2014-11-19,0.00532900 ,-0.00602400 ,-0.00710500 
2014-11-20,0.00176700 ,-0.00202000 ,-0.00178900 
2014-11-21,0.00529100 ,0.00404900 ,0.00358400 
2014-11-24,0.08245600 ,0.02419400 ,0.02142900 
2014-11-25,-0.01296600 ,0.00196900 ,0.00174800 
2014-11-26,0.06239700 ,0.01571700 ,0.01919700 
2014-11-27,0.00463700 ,0.00193400 ,-0.00684900 
2014-11-28,0.00000000 ,0.01544400 ,0.01379300 
2014-12-01,-0.03076900 ,-0.02471500 ,-0.02551000 
2014-12-02,0.05238100 ,0.01949300 ,0.02443300 
2014-12-03,-0.00603300 ,-0.00191200 ,-0.00340700 
2014-12-04,0.07587300 ,0.02298900 ,0.02393200 
2014-12-05,-0.00141000 ,0.02621700 ,0.03005000 
2014-12-08,0.01836200 ,0.03649600 ,0.03889800 
2014-12-09,-0.05825200 ,-0.05281700 ,-0.05460200 
2014-12-10,-0.01178200 ,-0.00371700 ,0.00825100 
2014-12-11,-0.02682600 ,-0.00559700 ,-0.00654700 
2014-12-12,-0.00459400 ,-0.00750500 ,-0.01153200 
2014-12-15,0.02153800 ,-0.00567100 ,0.00333300 
2014-12-16,0.03012000 ,-0.00950600 ,-0.00664500 
2014-12-17,0.00731000 ,0.01919400 ,0.01505000 
2014-12-18,0.01596500 ,0.00565000 ,-0.00164700 
2014-12-19,-0.01142900 ,0.00561800 ,0.00990100 
2014-12-22,0.02601200 ,0.03352000 ,0.03431400 
2014-12-23,0.00281700 ,-0.00360400 ,-0.01737800 
2014-12-24,-0.02106700 ,-0.01265800 ,-0.00803900 
2014-12-29,0.12195100 ,0.03113600 ,0.03241500 
2014-12-30,0.00511500 ,-0.01243300 ,-0.01412900 
2014-12-31,0.00254500 ,0.01798600 ,0.01433100 
2015-01-02,0.01142100 ,0.01943500 ,0.02040800 
2015-01-05,-0.01756600 ,0.00519900 ,0.00307700 
2015-01-06,-0.03320600 ,-0.01551700 ,-0.01380400 
2015-01-07,-0.01453100 ,0.00700500 ,0.00777600 
2015-01-08,0.02144800 ,-0.00521700 ,-0.00463000 
2015-01-09,-0.00262500 ,0.00174800 ,0.00000000 
2015-01-12,0.00789500 ,-0.00872600 ,-0.00775200 
2015-01-13,-0.01566600 ,0.00528200 ,0.00156300 
2015-01-14,-0.00795800 ,-0.00525400 ,-0.00312000 
2015-01-15,0.03342200 ,0.01056300 ,0.00939000 
2015-01-16,0.00258700 ,-0.01045300 ,-0.01085300 
2015-01-19,-0.08516100 ,-0.04049300 ,-0.03761800 
2015-01-20,0.03667100 ,0.02385300 ,0.01791500 
2015-01-21,0.05850300 ,0.02509000 ,0.01920000 
2015-01-22,-0.01413900 ,0.00524500 ,0.00784900 
2015-01-23,0.05345500 ,0.01565200 ,0.01090300 
2015-01-26,0.02846500 ,-0.00171200 ,-0.00924500 
2015-01-27,-0.05054200 ,-0.01715300 ,-0.02177300 
2015-01-28,-0.01901100 ,-0.00174500 ,0.00953900 
2015-01-29,-0.02325600 ,-0.02097900 ,-0.01574800 
2015-01-30,-0.00793700 ,-0.00357100 ,-0.00320000 
2015-02-02,-0.00533300 ,-0.01433700 ,-0.01123600 
2015-02-03,0.03619300 ,0.01454500 ,0.01298700 
2015-02-04,-0.02716700 ,-0.00179200 ,0.00480800 
2015-02-05,-0.00531900 ,0.01795300 ,0.01913900 
2015-02-06,0.00133700 ,-0.01058200 ,-0.01252000 
2015-02-09,0.00400500 ,-0.01247800 ,-0.00158500 
2015-02-10,0.00266000 ,0.00361000 ,-0.00158700 
2015-02-11,0.01061000 ,-0.00899300 ,-0.00953900 
2015-02-12,0.00131200 ,0.01270400 ,0.01765700 
2015-02-13,0.00131100 ,0.01254500 ,0.01104100 
2015-02-16,0.00000000 ,0.00177000 ,0.00000000 
2015-02-17,0.01570700 ,0.00353400 ,0.00468000 
2015-02-18,0.00257700 ,0.00000000 ,0.00000000 
2015-02-23,-0.00128500 ,0.00352100 ,0.00155300 
2015-02-24,0.01673100 ,0.00000000 ,0.00000000 
2015-02-25,0.00506300 ,-0.00701800 ,-0.00465100 
2015-02-26,0.02644800 ,0.00883400 ,0.01090300 
2015-02-27,-0.00613500 ,-0.00875700 ,-0.00616300 
2015-03-02,-0.00617300 ,0.00353400 ,0.00465100 
2015-03-03,-0.02236000 ,-0.01760600 ,-0.02006200 
2015-03-04,-0.03684900 ,-0.01254500 ,-0.01417300 
2015-03-05,-0.01319300 ,-0.01451900 ,-0.01118200 
2015-03-06,-0.00133700 ,0.00184200 ,0.00000000 
2015-03-09,0.00937100 ,0.00735300 ,0.01292400 
2015-03-10,-0.03580900 ,-0.00912400 ,-0.01116400 
2015-03-11,-0.00687800 ,-0.00920800 ,-0.00645200 
2015-03-12,0.01662000 ,0.01858700 ,0.01948100 
2015-03-13,0.02316100 ,0.01277400 ,0.00796200 
2015-03-16,0.01198400 ,0.00540500 ,0.00473900 
2015-03-17,0.00526300 ,0.00179200 ,0.00000000 
2015-03-18,0.00523600 ,0.01073300 ,0.01100600 
2015-03-19,-0.02864600 ,0.00885000 ,0.00622100 
2015-03-20,0.00402100 ,-0.00175400 ,0.00154600 
2015-03-23,0.00400500 ,0.00000000 ,-0.00154300 
2015-03-24,-0.03191500 ,-0.01933200 ,-0.01391000 
2015-03-25,-0.00274700 ,-0.00179200 ,-0.00156700 
2015-03-26,-0.01928400 ,0.00000000 ,0.00157000 
2015-03-27,-0.00140400 ,-0.01256700 ,-0.01097200 
2015-03-30,0.01687800 ,0.02727300 ,0.01743300 
2015-03-31,0.02074700 ,0.01238900 ,0.00311500 
2015-04-01,0.01490500 ,0.00699300 ,0.00776400 
2015-04-02,-0.00267000 ,0.01562500 ,0.01078600 
2015-04-08,0.08433700 ,0.03418800 ,0.05030500 
2015-04-09,0.00123500 ,0.02644600 ,0.01886800 
2015-04-10,0.01849600 ,0.00966200 ,0.01139600 
2015-04-13,0.01452800 ,0.05741600 ,0.07746500 
2015-04-14,-0.02386600 ,-0.00603300 ,-0.01830100 
2015-04-15,-0.00244500 ,0.04855800 ,0.04394100 
2015-04-16,0.05514700 ,0.00434200 ,-0.00510200 
2015-04-17,-0.01509900 ,-0.02161400 ,-0.02435900 
2015-04-20,-0.04127400 ,-0.01325500 ,-0.02102500 
2015-04-21,0.01722000 ,0.04029900 ,0.04161100 
2015-04-22,0.02781100 ,0.00143500 ,-0.00902100 
2015-04-23,-0.01411800 ,-0.02435500 ,-0.00780200 
2015-04-24,-0.00358000 ,-0.00440500 ,-0.00262100 
2015-04-27,0.03592800 ,0.00590000 ,0.00131400 
2015-04-28,-0.01271700 ,0.01319600 ,0.01837300 
2015-04-29,-0.02341900 ,-0.00578900 ,-0.00902100 
2015-04-30,0.01438800 ,-0.01892300 ,-0.01820500 
2015-05-04,0.00591000 ,-0.00741800 ,0.00529800 
2015-05-05,-0.05875400 ,-0.02541100 ,-0.02503300 
2015-05-06,0.00124800 ,-0.00460100 ,-0.00135100 
2015-05-07,-0.01995000 ,-0.01078600 ,-0.01488500 
2015-05-08,0.02799000 ,0.01869200 ,0.01373600 
2015-05-11,0.02846500 ,0.00611600 ,-0.00135500 
2015-05-12,-0.01684700 ,-0.01215800 ,-0.00949800 
2015-05-13,-0.01224000 ,-0.00461500 ,0.00684900 
2015-05-14,-0.00247800 ,0.00309100 ,-0.00544200 
2015-05-15,0.02236000 ,0.01849000 ,0.01778400 
2015-05-18,-0.01093600 ,0.00000000 ,-0.00672000 
2015-05-19,0.02334200 ,0.01361600 ,0.01894500 
